Maximum_Temp,Minimum_Temp,Wind_Speed,weather
23.9,13.3,2.9,sun
27.8,13.9,2,sun
25,13.3,2.3,sun
28.9,14.4,2,sun
31.1,15.6,1.8,sun
28.9,16.1,1.6,sun
23.3,14.4,2.3,sun
22.8,15,3.4,sun
17.8,15,2.2,rain
21.1,13.9,1.9,rain
23.3,12.8,2.5,sun
20,13.9,4.3,rain
20.6,12.8,2.7,sun
23.9,11.1,3.1,fog
27.8,13.9,6.5,fog
32.2,15,2.9,sun
28.3,13.3,2.1,sun
21.1,13.3,2.8,sun
21.7,13.3,2.3,sun
22.2,12.2,3.9,sun
24.4,12.8,5.3,sun
24.4,12.8,5.9,sun
28.3,10,4.2,sun
30,11.7,1.8,sun
30.6,12.2,1.2,sun
22.2,13.9,2.8,sun
22.8,14.4,2.3,rain
19.4,15,3.1,rain
23.9,16.1,2.8,sun
24.4,14.4,4.4,fog
26.1,12.8,3,sun
22.2,15,2.1,rain
18.9,14.4,2.5,rain
18.9,14.4,2.7,rain
21.7,14.4,2.5,rain
20,13.9,3.3,rain
20.6,11.7,3.2,fog
18.9,12.2,2,fog
16.7,11.1,3.5,rain
19.4,12.2,2.6,sun
18.3,11.1,2.1,sun
19.4,10,2,sun
22.2,8.9,1,sun
21.7,12.2,1.2,sun
23.9,11.7,1.4,fog
25.6,13.3,2.5,fog
18.9,13.9,1,fog
20.6,12.8,1.8,fog
17.2,11.1,1,fog
18.3,10,3.8,rain
18.3,11.7,3.5,rain
17.8,11.7,2.1,sun
21.1,10,3.1,rain
16.7,11.7,2.2,rain
16.1,11.7,4.7,rain
20.6,11.1,3.3,sun
16.7,11.7,3,rain
19.4,13.9,1.9,rain
22.2,12.8,3.2,sun
16.1,12.2,3.1,rain
16.1,11.7,4.7,rain
15.6,11.7,5,rain
14.4,8.3,4.6,rain
14.4,8.9,3.2,rain
16.7,8.3,5.4,rain
12.8,7.8,5,rain
15.6,6.7,2.4,rain
15,9.4,3.9,rain
16.7,11.7,3.1,rain
15.6,11.1,3.2,rain
12.8,8.3,2,rain
11.1,7.2,1.2,fog
13.3,7.2,2.9,rain
13.9,11.1,4.8,rain
14.4,10.6,3.3,rain
15,10.6,2.1,rain
16.7,10.6,6.7,rain
14.4,7.2,2.3,sun
12.8,3.9,0.8,fog
13.3,7.8,3,rain
11.1,5.6,3.9,sun
7.8,1.1,7.7,sun
6.7,0,7.6,sun
7.2,0.6,4.7,sun
7.2,-2.1,4.5,sun
8.3,-1.6,4.2,sun
9.4,-2.1,4.2,sun
10.6,-2.1,1.9,sun
7.2,-0.5,0.9,sun
11.1,2.2,1.9,sun
11.1,5.6,2.1,rain
11.1,8.3,4.7,rain
9.4,6.7,4.7,rain
12.8,5.6,5.1,rain
11.7,4.4,3.8,rain
13.9,9.4,4.5,rain
15,12.2,3.9,rain
14.4,11.7,6.6,rain
12.8,3.3,5.8,rain
4.4,-4.3,5.3,snow
2.8,-4.9,4.4,sun
4.4,-3.2,2.2,sun
5.6,-3.2,5.7,fog
10,0,3.6,sun
8.3,3.9,1.1,rain
12.8,6.7,3.1,rain
11.7,7.8,3.6,rain
14.4,6.1,2.8,sun
14.4,8.9,4.2,rain
16.1,10.6,5.1,rain
18.9,10,6.7,rain
14.4,8.3,6.4,rain
11.1,7.2,3.7,sun
10,3.9,1.1,fog
12.8,1.7,3.5,fog
12.2,6.7,5.9,sun
10,8.3,4,sun
8.9,6.1,1.6,rain
9.4,6.7,3.1,rain
11.1,7.2,4.3,rain
12.8,6.7,5.5,rain
12.8,10,5.2,sun
10.6,6.1,1.5,sun
12.2,5,3.8,rain
7.2,3.9,1.8,rain
7.8,2.8,2.2,fog
5.6,1.7,1.2,fog
9.4,4.4,4.9,rain
6.7,2.8,1.8,rain
6.1,0.6,4.3,fog
3.3,-2.1,3.6,sun
3.3,-2.7,3,sun
5.6,-3.2,1.2,sun
5.6,0,2.3,rain
5,1.7,1.7,fog
10.6,3.3,4.5,rain
12.2,9.4,6.4,rain
12.2,6.1,1.3,fog
7.8,5.6,1.6,fog
7.8,1.7,2.6,fog
10,3.3,0.6,rain
7.8,6.1,0.5,rain
9.4,7.2,1.1,rain
11.1,4.4,1.6,fog
9.4,2.8,2.7,fog
6.1,0.6,2.8,fog
7.8,1.1,3.2,rain
11.7,5.6,4.5,fog
13.3,3.3,2.8,rain
13.9,7.2,6.6,rain
10,6.1,2.8,rain
10,3.3,3,fog
7.2,-0.5,1.3,fog
9.4,6.1,1.3,rain
12.2,8.3,2.6,rain
14.4,11.1,3.3,rain
17.2,7.2,1.4,fog
16.1,6.1,2.2,fog
11.1,8.3,2,rain
12.2,5,1.8,fog
12.2,3.3,2.9,sun
8.3,1.1,0.8,fog
7.2,3.3,1.9,fog
9.4,4.4,2.6,rain
11.1,5,4,rain
10,5.6,1.9,rain
10.6,4.4,1.7,rain
13.3,8.3,4.6,rain
14.4,10,4.5,rain
12.2,9.4,4.6,rain
15,8.3,3.9,rain
13.3,8.3,2.5,rain
12.8,8.3,4,rain
12.8,5.6,1,fog
16.7,9.4,2.1,rain
15.6,6.7,1.7,fog
14.4,6.7,2.9,rain
12.2,3.9,4.8,sun
15,5.6,6.6,fog
16.1,4.4,4,sun
12.2,4.4,2.6,sun
10.6,8.3,2.2,rain
11.1,7.2,0.9,rain
12.2,5.6,4.5,sun
11.7,3.3,4.2,sun
12.8,0.6,1.4,sun
11.1,2.2,1.5,sun
10,6.7,1,rain
11.7,7.8,1.4,rain
10,6.7,4,rain
12.2,3.3,5.1,sun
11.1,1.1,2.2,sun
11.1,4.4,4.8,sun
10.6,0,2.1,sun
12.8,-0.5,1.8,sun
13.3,2.8,1.3,sun
15,3.3,1.4,sun
16.7,3.9,2.7,fog
17.2,3.9,1.7,fog
14.4,4.4,1.8,fog
13.3,5,2.6,rain
14.4,8.9,3.1,rain
17.8,9.4,3.2,sun
17.2,7.8,2.2,rain
13.9,9.4,3.8,rain
10.6,6.1,4.2,rain
13.9,6.1,3,rain
13.3,4.4,2.6,rain
15.6,7.2,2.5,sun
15.6,8.3,1.9,sun
13.9,8.9,1.9,rain
13.3,8.3,4.7,rain
11.7,6.1,2.3,rain
11.1,5.6,2.8,rain
12.8,6.1,3.9,rain
14.4,7.2,4.4,rain
20.6,10,2.2,sun
18.3,8.9,4,rain
15.6,9.4,5.7,sun
15.6,8.9,3,sun
17.8,10.6,2.9,rain
12.8,6.1,4.2,rain
12.8,5.6,3.2,rain
13.3,5.6,2.4,sun
11.1,5,3.6,rain
12.8,3.9,1.7,sun
16.7,2.8,2.4,sun
13.9,6.7,3.5,rain
14.4,6.7,3.9,rain
17.2,6.1,1.7,sun
17.2,6.1,2.3,sun
13.9,7.8,4.6,rain
11.7,5.6,6.5,sun
13.3,5.6,3.6,sun
11.7,3.9,3.6,rain
11.7,2.8,3.3,rain
13.9,3.3,2.4,sun
17.8,3.9,3.1,sun
18.9,6.1,3.6,sun
18.9,8.3,3.9,sun
21.1,8.3,3.6,sun
22.8,7.8,2.6,sun
17.2,6.7,3.4,rain
15.6,5,2.3,sun
12.2,6.7,4.1,rain
12.2,6.1,5,rain
13.3,5.6,3,rain
15.6,4.4,2.7,fog
25,10.6,2.3,rain
15.6,8.9,4.3,rain
16.1,7.2,4.7,sun
17.2,7.8,2.1,sun
18.3,8.9,3.7,sun
18.3,7.8,3.7,sun
20.6,7.8,2.6,sun
17.2,7.2,5.2,sun
14.4,7.2,5.1,rain
16.7,7.2,2.6,fog
20.6,6.1,3,sun
23.9,8.3,3,sun
26.7,9.4,2.6,sun
19.4,11.1,2.8,sun
13.9,10,2.5,fog
15.6,10.6,3.3,rain
12.2,10,2.8,rain
17.8,9.4,2,rain
20,9.4,2.8,fog
15.6,11.1,3,sun
19.4,10.6,2.1,sun
25.6,12.2,3,sun
21.7,11.7,2.6,sun
23.3,10.6,1.8,fog
25.6,11.7,2.1,sun
16.7,11.7,3.7,sun
16.1,11.7,2.6,sun
17.8,11.1,2.7,sun
15.6,11.1,2.7,sun
21.7,11.7,2.1,sun
24.4,11.7,1.8,sun
27.8,12.2,2.1,sun
26.1,12.8,2.5,sun
22.8,10,2.5,sun
25,11.7,2.2,sun
16.1,11.7,3.4,rain
17.8,12.8,5,rain
20,11.7,3,sun
22.8,11.7,3.9,sun
26.7,12.8,4.3,sun
29.4,13.3,2.6,sun
31.1,15.6,3.2,sun
30.6,14.4,3.5,sun
28.9,14.4,2.7,sun
25.6,11.1,3,sun
24.4,11.1,3.5,sun
20,11.7,2.3,sun
23.9,9.4,2.6,sun
27.8,11.7,3.7,sun
30,16.1,3.5,drizzle
22.8,11.1,3,sun
25,11.1,3.1,sun
24.4,13.9,3,sun
23.9,13.3,3.2,rain
25,12.8,4.3,sun
25.6,13.9,3.4,sun
25,12.8,2.4,sun
26.1,11.7,2.4,sun
25.6,16.1,2.6,sun
30.6,15.6,3,sun
31.7,17.8,4.7,sun
33.3,17.2,3.9,sun
28.3,18.3,2.1,rain
28.9,17.2,2.7,sun
30.6,15,3.4,fog
32.2,17.2,4.3,sun
33.9,17.8,3.4,sun
33.3,17.8,2.6,sun
33.3,15,2.9,sun
32.8,16.7,2.1,sun
29.4,15.6,3.2,drizzle
27.2,13.9,2.4,sun
30,14.4,1.9,drizzle
28.9,14.4,3.4,sun
21.1,16.7,3.7,sun
22.2,16.7,3,sun
26.1,16.7,2.2,sun
25.6,16.1,3.1,sun
27.8,16.1,3.3,sun
26.1,14.4,3.2,sun
26.1,15,2.8,sun
27.8,13.9,3.3,sun
33.3,17.8,3.4,sun
35,17.2,3.3,sun
26.7,16.7,3.9,sun
23.9,15,2.4,sun
23.9,13.9,2.8,sun
26.1,14.4,1.9,sun
22.8,13.3,3.8,rain
21.1,14.4,2.4,fog
22.2,13.9,2.6,rain
23.3,12.2,1.9,fog
27.8,13.9,3.4,sun
32.2,14.4,3.8,sun
34.4,17.2,3.5,sun
34.4,17.8,2.6,sun
33.3,15.6,3.1,sun
30.6,16.1,2,sun
28.3,17.2,2.3,sun
26.1,14.4,2.6,fog
23.3,12.2,3.5,sun
25,15,2.9,sun
28.3,15.6,3.7,sun
25,15.6,3.6,fog
28.3,15,2.2,sun
28.9,16.1,2.4,sun
30,16.7,4.4,sun
28.3,16.7,2.7,rain
28.3,15.6,2.2,sun
18.3,15,5.2,rain
21.7,13.9,3.7,sun
25,14.4,3.7,sun
27.2,13.9,3,sun
30,15,3,sun
31.7,16.1,2.1,drizzle
22.8,14.4,4.2,rain
22.2,14.4,2.6,sun
26.7,12.2,2.5,drizzle
27.8,13.9,1.8,drizzle
23.9,12.2,2.3,sun
25.6,12.2,3.4,sun
28.3,13.9,1.7,sun
29.4,14.4,2.1,sun
23.3,15.6,2.6,rain
22.2,13.3,5.8,rain
20,12.8,4.7,rain
18.9,16.1,5.8,sun
19.4,13.9,5,rain
19.4,11.1,3.8,sun
18.3,10.6,2.9,sun
18.3,10,2.9,sun
20.6,8.9,3.5,rain
16.1,11.7,2.4,rain
21.1,13.3,1.5,rain
22.8,13.3,2.4,sun
24.4,13.9,3.3,sun
25,14.4,3.6,fog
27.2,15,3.1,sun
26.7,14.4,2.1,sun
20.6,12.8,3,rain
16.7,10.6,3.4,sun
17.8,10,2.8,sun
20,10,1.9,rain
18.3,12.8,3.8,rain
19.4,12.8,2.6,sun
21.1,14.4,4.3,sun
22.8,12.2,6.8,rain
18.3,9.4,2.7,fog
18.9,7.8,2,sun
20.6,8.3,1.8,sun
22.2,11.1,2.5,fog
15.6,12.8,2.6,rain
18.3,10,2.7,sun
17.8,7.2,3.8,sun
21.1,9.4,5.1,sun
21.7,8.9,1.9,sun
18.3,10,1.3,fog
21.1,9.4,1.3,fog
15.6,10,2.9,fog
19.4,11.1,4.8,sun
22.8,10,3.7,sun
23.3,9.4,1.6,sun
18.3,10,2.6,drizzle
16.1,13.9,2.2,rain
18.9,13.3,1.1,fog
19.4,12.2,2.6,rain
21.1,13.3,4.7,rain
17.8,10.6,2.6,sun
18.3,10.6,2.8,rain
16.7,9.4,3.2,rain
15,10,5,fog
21.1,9.4,3.4,fog
20,8.9,1.3,sun
19.4,11.7,1.3,rain
15,12.8,2,rain
17.2,12.2,2.6,rain
17.8,10.6,1.8,fog
16.1,8.3,1.3,fog
16.1,8.9,2.7,fog
12.8,7.2,2.6,fog
15,8.9,2.9,fog
19.4,8.9,3.4,rain
12.2,10,4.6,rain
16.1,7.8,1.7,fog
13.9,11.1,2.8,rain
15,12.2,4.7,rain
17.2,11.7,6.7,rain
15.6,11.7,7.2,rain
12.2,8.9,6,rain
11.1,7.2,2.8,rain
10.6,5,1.4,rain
10,3.3,2.2,sun
11.7,7.8,2.3,rain
15.6,8.3,2.7,fog
12.2,9.4,3,rain
11.1,7.8,1.8,rain
10,5,1.3,rain
11.1,3.9,3.9,rain
11.1,6.1,4.6,rain
11.1,5,5.1,rain
13.3,9.4,6.5,rain
9.4,6.1,4.5,rain
8.9,2.2,4.1,rain
8.9,1.7,4,rain
13.3,6.7,8,rain
8.9,3.3,3.8,rain
8.9,2.8,4.2,rain
8.3,0.6,4,fog
8.9,0.6,4.7,sun
10,1.7,3.1,fog
6.7,0,1.3,rain
6.7,2.8,4.5,rain
7.2,0,5.7,sun
9.4,-1,4.3,sun
9.4,-1.6,3,sun
7.2,-2.7,1,sun
1.7,-2.1,0.9,fog
5.6,-3.8,1.7,rain
10,3.9,3.5,rain
10.6,4.4,5,rain
15.6,7.8,5.9,rain
10.6,6.1,4.7,rain
10,6.1,4,rain
12.8,7.2,5.9,rain
11.1,8.3,3.4,rain
15.6,10,6.2,rain
12.2,7.8,6.3,rain
11.7,6.1,7.5,rain
9.4,4.4,2.8,rain
8.9,5.6,5.6,rain
7.8,6.1,6.1,rain
7.8,1.7,1.7,sun
6.7,1.1,2.9,rain
6.1,2.8,2.3,rain
6.7,3.9,6,rain
8.9,4.4,5.1,rain
8.3,2.8,4.1,fog
7.8,4.4,6.7,rain
5.6,2.8,4.3,rain
7.8,2.8,5,rain
5,2.8,7.6,rain
5.6,2.2,4.3,rain
5,2.2,1.5,rain
4.4,0,2.5,sun
4.4,1.7,2.9,rain
5,1.7,1.3,rain
7.2,0.6,2.6,fog
5.6,-1,3.4,sun
5.6,-2.1,3.5,sun
